"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",-1.50239051273349,-1.27996034735103,-0.882236034100678,-1.64806296777818,-0.718506795321141,-0.373961664547562,-1.3069844830345,-1.15843398393723,1.4,0.5,0.38,0.456,0.486,12.2,5.3,0.2,20.5,100,108,1.2,3.5,4.7,0.058,-0.6,-0.6,-1.3,0.7
"2",-2.25253717698891,-1.89783863808211,-2.13389100222283,-1.58531431633981,0.548790535047009,-0.531045832582448,0.932702896470985,1.26416406977277,1.7,0.6,0.413,0.488,0.525,13.3,4.5,0.5,23.1,104,110,10.6,8.7,19.2,0.069,0.1,-1.2,-1.2,2.7
"3",0.59802014718169,0.367715094598526,0.19229794796645,0.359893878249769,-0.257671402459995,0.0187487555396487,0.932702896470985,1.12165830190748,6.4,0.8,0.448,0.499,0.531,15.3,12.3,1.9,20.6,107,109,9.5,12.2,21.7,0.09,0.1,-0.2,0,5.7
"4",1.94828414284145,1.08857310045146,2.19573310134436,1.238374998387,-0.718506795321141,3.39605836828968,-0.962417193879809,-0.730916680341348,3.7,0.3,0.509,0.509,0.528,11.5,18,1.8,15.1,102,105,1.4,4.8,6.2,0.077,-3.5,-0.1,-3.6,-1.5
"5",-1.72743451201012,-1.27996034735103,-1.11052530501604,-0.70683319620258,1.35525247255401,0.0187487555396487,-1.47926812761184,-0.588410912476054,1.9,0.7,0.41,0.488,0.52,11.7,5.4,1.1,19.6,104,110,0.5,2.5,3,0.064,-1.6,0,-1.6,0.2
"6",-1.05230251418024,-1.07400091710733,-1.14988552413938,-0.957827801956074,-0.142462554244709,-0.373961664547562,-0.273282615570429,-0.303399376745465,1,0.4,0.413,0.434,0.494,9.9,4.7,0.1,16.7,100,112,0.2,1.3,1.6,0.032,-3.2,-0.7,-3.9,-1.1
"7",0.297961481479521,0.367715094598526,-0.677562894659321,-0.0793466818188456,-0.603297947105854,0.804169595714074,-1.47926812761184,-1.30093975180253,2.1,0.2,0.373,0.423,0.448,7.4,6.2,0.3,21.1,91,111,-3,1.6,-1.4,-0.021,-3,-2,-5,-2.4
"9",0.523005480756148,1.08857310045146,0.0309210495607641,1.238374998387,1.4704613207693,0.254375007591975,-0.962417193879809,-0.445905144610759,6.1,1,0.421,0.479,0.518,12.3,13.6,1.8,15.2,103,106,7.3,20.2,27.5,0.076,-1.1,0.6,-0.5,6.7
"10",0.748049480032774,0.779633955085915,1.21172762326091,0.610888484003263,-0.0272537060294228,0.804169595714074,0.41585196273895,0.124117926850418,8.3,0.8,0.52,0.544,0.569,18.7,14.5,2.9,19.2,115,104,51,40.1,91.1,0.157,1.7,1.1,2.8,33.7
"11",0.898078812883859,1.397512245817,1.88085134835765,1.05012904407188,0.548790535047009,0.175832923574534,-0.445566260147774,-1.44344551966782,8.4,0.7,0.499,0.499,0.528,20.6,16.9,3.3,25.5,108,105,37.4,33.6,71,0.13,1.5,-0.3,1.2,21.3
"12",0.0729174822028945,0.161755664354832,0.227722145177454,0.673637135441636,1.12483477612344,-0.845214168652218,1.79412111935771,1.69168137336866,4.2,0.6,0.452,0.465,0.511,12.3,8.6,1.4,21.3,101,112,1.9,4.2,6.1,0.035,-2.2,-1.4,-3.5,-3.2
