"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",-1.4986822719848,-1.2798331771831,-0.882183686867962,-1.64528067726518,-0.715281881922532,-0.373276146111948,-1.30287597568858,-1.16111915462501,1.5,0.5,0.381,0.459,0.49,12.2,5.3,0.2,20.3,101,108,1.2,3.2,4.4,0.059,-0.7,-0.6,-1.3,0.7
"2",-2.2468089166709,-1.89686698251766,-2.14036872089242,-1.58256970680924,0.553058147362293,-0.530984037747724,0.936954889317605,1.27202648049368,1.8,0.6,0.415,0.489,0.531,14,4.3,0.4,23.7,106,111,7.5,4.9,12.5,0.077,0.6,-1.4,-0.8,2.4
"3",0.596072333136257,0.365590303709044,0.197956295171903,0.361470377325073,-0.25406732581896,0.020993582977489,0.936954889317605,1.12890026666317,6.2,0.8,0.45,0.502,0.534,15.3,12.2,1.9,20.6,107,108,8.1,9.9,18,0.091,0.2,-0.2,0,4.7
"4",1.94270029357122,1.08546307659936,2.21184366095319,1.23942396370831,-0.715281881922532,3.41171325314666,-0.958286611841474,-0.73174051313348,4,0.3,0.512,0.512,0.531,12.3,18.5,1.9,15.7,103,104,1.5,4.1,5.5,0.089,-3.3,-0.1,-3.3,-1
"5",-1.72312026539063,-1.2798331771831,-1.11166397609255,-0.704616120426001,1.36018362054355,0.020993582977489,-1.47517065761213,-0.588614299302968,1.9,0.7,0.41,0.488,0.52,11.7,5.4,1.1,19.6,104,110,0.5,2.5,3,0.064,-1.6,0,-1.6,0.2
"6",-1.04980628517315,-1.07415524207158,-1.15122954320024,-0.955460002249783,-0.138763686793066,-0.373276146111948,-0.269107884147263,-0.302361871641945,1,0.4,0.413,0.434,0.494,9.9,4.7,0.1,16.7,100,112,0.2,1.3,1.6,0.032,-3.2,-0.7,-3.9,-1.1
"7",0.29682167526182,0.365590303709044,-0.676442737907988,-0.0775064158665456,-0.599978242896639,0.809533041156367,-1.47517065761213,-1.30424536845553,2.1,0.2,0.373,0.423,0.448,7.4,6.2,0.3,21.1,91,111,-3,1.6,-1.4,-0.021,-3,-2,-5,-2.4
"9",0.521259668667647,1.08546307659936,0.035737470030385,1.23942396370831,1.47548725956944,0.257555420431151,-0.958286611841474,-0.445488085472457,5.3,1,0.437,0.463,0.505,12.4,13.8,2.1,15.4,100,105,2.1,9.4,11.5,0.066,-1.6,0.7,-0.9,2.3
"10",0.745697662073475,0.776946173932081,1.22270448326101,0.612314259148855,-0.0234600477671732,0.809533041156367,0.420070843546947,0.127016769849589,9.5,0.8,0.537,0.537,0.574,18.1,16.5,2.5,17.5,116,105,19.8,14.7,34.5,0.155,0.9,0.7,1.6,9.8
"11",0.895322991010694,1.39397997926664,1.89531912409169,1.05129105234047,0.553058147362293,0.178701474613265,-0.441402566070816,-1.44737158228604,8.5,0.6,0.505,0.505,0.538,20.6,18.1,3.5,25.1,108,106,13.3,10.9,24.3,0.127,1.4,-0.7,0.7,6.3
