"","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT"
"1",-1.04666801073683,-0.771823246798521,-0.451972476512508,0.103410000206938,-0.220036851813422,-0.425269988900486,-1.5124762895638,-0.658183766736153,-0.44261511871746,-0.0440684858576436,1.31890936861134,-0.157838444605283,-1.36853029417296,-0.740071904760775,-0.713052993436978,0.65740318652859,-2.63922868922785,-0.67728746371438,-0.491227415045331,72.75,97.5,175,75.75,3,3.22,33,37.5
"2",-0.769999422372416,0.0829440896887663,-0.389878868076963,0.407557059639111,0.436696219261318,0.621558118017476,-0.97074274156519,-0.934409175951605,1.18782610285861,0.0614145919931005,0.024168496283454,-0.157838444605283,-0.229728631670291,-0.217622677938196,0.134972091257848,1.01773380033841,0.0128393771467341,0.895129628488079,0.3711354072059,72.5,97,192.8,75.75,3.25,3.22,26,31
"3",-1.04666801073683,-0.771823246798521,-0.343308661750304,0.389666056143101,0.530515229414853,0.366924254172566,-1.06923975029221,-0.658183766736153,0.951149151339503,0.588829981246821,-0.493727852647702,0.00249406120143784,-0.229728631670291,-0.1015228497554,1.02068717971689,0.811830592447086,0.581139677084145,1.02990823639115,0.3711354072059,70,94,161,76,6,3.2,32.5,39.5
"4",0.336674931085224,-0.486900801302758,0.184487009951832,0.121301003702948,0.192766792862129,-0.11405082197893,0.605209398067137,0.446717870125657,-0.705589509294246,-0.0440684858576436,-0.234779678182124,-0.238004697508643,-0.356262149726144,-0.333722506120991,0.0407470818473118,-0.269161248982386,0.296989527115439,-0.0932468294677524,-0.347500278003459,79.5,105,220.1,83.75,4.25,3.27,32.5,39
"5",-0.105994810297832,-0.771823246798521,1.08484433226724,0.604358098095223,0.417932417230611,0.593265466479153,1.46705822442857,0.30860516551793,1.00374402945486,-0.149551563708388,-0.75267602711328,-0.398337203315363,-0.229728631670291,-0.449822334303786,0.153817093139955,-0.783919268710706,0.391706243771675,-0.4526564505426,-0.347500278003459,84,108.5,271,87.25,3.25,3.7,27,32.5
"6",-0.936000575391063,-0.486900801302758,-0.52958948705694,0.210756021182999,0.211530594892836,0.0274124357126868,-0.92149423720168,0.170492460910204,0.977446590397181,0.0614145919931005,0.024168496283454,-0.398337203315363,-0.229728631670291,-0.391772420212389,0.134972091257848,0.194120968773102,0.48642296042791,0.400941399510163,0.0836811331221565,71.75,97,187,79.5,7.75,3.27,25.5,33
"7",-1.10200172840971,-0.201978355806996,-0.52958948705694,-0.987941213049681,-0.970588933041696,-1.16087892889689,-1.41397928083678,-1.07252188055933,-0.44261511871746,-0.887933108663596,1.05996119414577,-0.879334720735525,-0.7358627038937,-0.972271561126366,-1.22186804425387,-1.0927740805477,-0.555460922790677,-1.21640189532665,-1.06613596321282,74,98,186,78.5,4.5,3.22,29,34
"8",-0.0506610926249499,-0.486900801302758,-0.917674539779099,-0.88059519207362,-1.06440794319523,-1.10429362582025,-0.896869985019925,-0.934409175951605,1.10893378568557,-1.09889926436508,1.05996119414577,-2.24216102009265,-0.229728631670291,-1.78497035840593,-1.65530308754234,-0.320637050955218,-1.88149495597797,-1.1714756926923,-2.64713447067341,78.5,105,198,82,3.5,3.37,25.5,30.5
"9",-0.880666857718181,-1.05674569229428,-0.855580931343554,0.228647024679009,-0.0886902375984742,-1.61356135351007,-0.626003211020619,-0.451014709824564,-1.65229731537067,0.272380747694589,2.61365024093923,-0.398337203315363,-1.11546325806126,-0.856171732943571,-0.7695879990833,-1.14424988252053,-0.744894356103147,-1.35118050322972,-0.491227415045331,76,102.5,240.6,81.75,5.75,3.37,30,34
"11",0.170673778066578,0.367866535184529,-0.638253301819145,-0.379647094185336,-0.144981643690595,-0.62331854966875,0.309718371886076,-0.174789300609111,-0.232235606256032,-0.782450030812852,0.024168496283454,-1.11983347944561,0.529472476664821,-0.507872248395184,-0.675362989672764,-0.320637050955218,0.296989527115439,-0.138173032102108,-0.491227415045331,79.25,108.5,216,87.25,8,3.3,27,33.5
