"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",-1.36184668929983,-0.82811030853485,-1.57217390363426,-1.61811830645795,-0.833389376235113,-0.352622232398486,1.04819126654417,0.639384995790549,1.1,0.3,0.406,0.477,0.495,10.3,3.4,0.6,16.5,101,113,0.4,-0.1,0.3,0.02,-0.8,-3.2,-4,-0.3
"2",-1.43619231712768,-0.907101668302673,-0.861244845277379,-1.61811830645795,-0.716230607317337,-0.352622232398486,-1.36505423090806,-1.23550333773061,1.6,0.6,0.41,0.494,0.53,14,5.6,0.2,22.7,102,108,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3
"3",-2.17964859540612,-1.38104982690961,-2.13133158998237,-1.55449079528125,0.572515850778199,-0.511381616669942,0.875816588154729,1.21627371379706,1.1,0.3,0.413,0.493,0.535,13.1,5.2,0.6,21.8,107,106,0.6,0.8,1.4,0.112,-0.5,0.2,-0.2,0.3
"4",0.645485262051975,0.356760087982496,0.229112643101428,0.417962051196231,-0.247595531646233,0.0442762282801514,0.875816588154729,1.07205153429543,3.6,0.4,0.447,0.478,0.517,11.4,12,2.2,15.5,101,107,0.3,0.7,1,0.06,-2.6,-0.1,-2.7,-0.2
"5",1.98370656295318,0.909699606357257,2.26205023132419,1.30874720766993,-0.716230607317337,3.45760299011645,-1.02030487412917,-0.802836799225726,2.8,0.3,0.505,0.505,0.529,13.9,15.5,2,22,100,105,0.1,0.8,0.8,0.066,-3.6,0,-3.5,-0.2
"6",-1.65922920061121,-0.907101668302673,-1.09289588676445,-0.663705638807551,1.39262723320263,0.0442762282801514,-1.53742890929751,-0.658614619724098,1.3,0.4,0.401,0.483,0.518,11.9,5.8,1.8,21.9,102,108,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1
"7",-0.990118550160608,-0.749118948767027,-1.1328357215036,-0.918215683514323,-0.130436762728457,-0.352622232398486,-0.33080616057139,-0.370170260720843,1,0.5,0.401,0.416,0.455,7.7,3.8,0,16.5,93,112,-0.5,0.4,-0.1,-0.007,-4.2,-1,-5.2,-0.7
"8",0.348102750740596,0.356760087982496,-0.653557704633797,-0.0274305270406204,-0.599071838399561,0.83807314963743,-1.53742890929751,-1.37972551723224,2.9,0.4,0.376,0.422,0.45,7.9,5.9,0.2,22.4,91,112,-2.2,0.8,-1.5,-0.03,-2.7,-2.4,-5.1,-1.8
"9",-0.395353527537851,-0.0381967108566195,1.04787925525401,-0.0910580382173134,0.455357081860423,0.83807314963743,0.0139431962075013,-0.370170260720843,1.4,0.2,0.38,0.484,0.502,6.1,7,0.9,11.9,104,118,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3
"11",0.57113963422413,0.909699606357257,0.0653593206709117,1.30874720766993,1.50978600212041,0.282415304687333,-1.02030487412917,-0.514392440222471,3.3,0.7,0.394,0.45,0.499,9.6,10.8,1.3,17.3,94,108,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
"12",0.794176517707665,0.672725527053788,1.26355436284543,0.672472095903003,-0.0132779938106813,0.83807314963743,0.358692552986392,0.0624962777840391,9.7,0.7,0.499,0.499,0.539,14.7,18,2.2,16,108,106,2.4,3,5.5,0.103,-1.2,-0.3,-1.6,0.3
"13",0.942867773363354,1.14667368566073,1.94253155341098,1.11786467413985,0.572515850778199,0.203035612551607,-0.503180838960835,-1.52394769673386,4.4,0.3,0.528,0.528,0.554,16.6,17.3,3.9,21.2,108,104,1.3,1.4,2.7,0.123,-1.7,-0.6,-2.3,-0.1
"14",0.125065867257062,0.19877736844685,0.265058494366664,0.736099607079696,1.15830969536708,-0.828900385212853,1.73768998010196,1.64894025230194,4.5,0.6,0.429,0.454,0.504,12.7,9.6,1.5,24.1,97,110,-0.5,1.6,1.1,0.025,-1.9,-1.5,-3.4,-0.8
"15",-0.246662271882161,0.19877736844685,0.352926130792795,-0.154685549394006,0.103880775107095,0.0442762282801514,-1.19267955251862,-1.37972551723224,1.9,0.3,0.414,0.481,0.52,10.4,7.2,0.6,18.2,101,111,0.2,0.3,0.4,0.037,-1.7,-1.7,-3.3,-0.2
"16",-0.097971016226472,0.119786008679027,-0.86923281222521,-0.0274305270406204,0.103880775107095,-0.749520693077127,-0.33080616057139,0.206718457285667,2.2,0.5,0.429,0.45,0.506,14,8.1,0.4,22.5,105,109,1.1,0.4,1.5,0.076,-0.6,-1.4,-2,0
"18",-1.28750106147199,-0.512144869463558,-0.413918696198894,-0.409195594100779,1.27546846428485,-0.511381616669942,-0.503180838960835,0.0624962777840391,1.5,0.4,0.386,0.479,0.512,10,5.8,0.3,20.8,99,109,0.1,0.5,0.6,0.039,-1.5,-1.2,-2.7,-0.1
"19",-0.469699155365695,-0.749118948767027,-0.653557704633797,-0.85458817233763,-0.833389376235113,-0.987659769484309,0.703441909765284,1.36049589329869,3.1,0.4,0.448,0.498,0.564,12.2,7.1,0.8,21.5,104,116,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4
"20",0.868522145535509,-0.0381967108566195,2.26205023132419,0.0998244953127657,-1.18486568298844,-0.828900385212853,1.56531530171251,0.350940636787294,2,0.1,0.517,0.517,0.573,10,13.4,1.1,17.3,103,105,0.3,0.5,0.8,0.083,-5.6,-0.8,-6.4,-0.5
