"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"3",-0.730985111718947,-1.16769611849097,-1.02158777539958,-0.95979460076275,-0.462243701039935,-0.543716377867072,1.36088073131418,1.91850191252926,6.4,0.8,0.448,0.499,0.531,15.3,12.3,1.9,20.6,107,109,9.5,12.2,21.7,0.09,0.1,-0.2,0,5.7
"4",2.06991823714473,0.264563586748565,1.79677633125833,0.551772043211544,-0.903330616872772,2.73899899413691,-0.710548346438379,-0.259046451133393,3.7,0.3,0.509,0.509,0.528,11.5,18,1.8,15.1,102,105,1.4,4.8,6.2,0.077,-3.5,-0.1,-3.6,-1.5
"10",-0.419773628511871,-0.349262001211237,0.412511052939123,-0.527918416770095,-0.241700243123517,0.219705801668738,0.795945528290757,0.745975870557061,8.3,0.8,0.52,0.544,0.569,18.7,14.5,2.9,19.2,115,104,51,40.1,91.1,0.157,1.7,1.1,2.8,33.7
"11",-0.108562145304796,0.878389174708367,1.35381144219618,0.227864905217053,0.30965840166753,-0.39103194195991,-0.145613143414953,-1.0965650525421,8.4,0.7,0.499,0.499,0.528,20.6,16.9,3.3,25.5,108,105,37.4,33.6,71,0.13,1.5,-0.3,1.2,21.3
"18",-0.108562145304796,0.264563586748565,-0.307306891786865,-0.0960422327774392,-0.0211567852070982,-0.696400813774235,1.17256899697304,0.745975870557061,7.8,0.8,0.537,0.538,0.597,21.8,14.4,2.9,26.2,113,105,63.1,29.4,92.5,0.169,1.7,-0.4,1.3,22
"19",0.669466562712893,0.673780645388433,2.21759297586737,1.84740059518951,1.41237569124962,0.3723902375759,0.984257262631899,0.0759609894300918,13.8,1.4,0.542,0.543,0.54,22.1,24.5,4.1,21.7,109,100,24.6,36.1,60.6,0.156,1,0.5,1.5,16.3
"21",-1.50901381973664,-1.37230464781091,-1.81338751459816,-1.28370173875724,-0.241700243123517,-0.00932085219200663,0.419322059608473,1.08098331112055,4,0.9,0.477,0.523,0.524,9.8,9.9,2.4,9.5,110,106,4.3,8.4,12.7,0.09,-2.1,1.5,-0.6,2.4
"22",1.44749527073058,1.0829977040283,0.667215864149857,0.44380299721338,-0.572515429998144,1.28849685301887,-0.522236612097237,0.0759609894300918,8.7,0.6,0.535,0.535,0.545,16.4,17.5,4.3,16.9,107,102,19.2,31.4,50.6,0.122,-0.5,1.7,1.2,16
"24",-0.108562145304796,-0.349262001211237,-0.251936280654096,0.875679181206036,0.971288775416785,2.50997234027617,-0.145613143414953,-0.929061332260362,3,0.3,0.467,0.495,0.522,12.2,11.8,1.9,20.3,99,108,0.5,3.3,3.8,0.045,-2.6,-1,-3.6,-1.6
"27",0.20264933790228,0.469172116068499,-2.30064889256652,0.44380299721338,0.30965840166753,-0.620058595820655,0.0426985909261888,0.578472150275319,4.3,0.6,0.453,0.46,0.514,16.5,15.5,4.2,22.8,101,106,1.2,4.6,5.8,0.072,-1.6,0,-1.6,0.4
"28",-1.04219659492602,-0.144653471891303,0.19102860840805,0.227864905217053,0.971288775416785,-0.39103194195991,-0.145613143414953,-1.0965650525421,3.3,0.4,0.415,0.537,0.57,11,9.5,1.2,13.6,113,110,15.9,10,25.8,0.088,-0.7,-0.4,-1.1,3.3
"31",0.669466562712893,0.878389174708367,-2.58857607045692,0.335833951215216,-0.131428514165307,1.59386572483319,-1.46379528380295,-1.76657993366907,2.6,0.4,0.402,0.469,0.5,11.6,11.1,2.3,19.3,99,107,0.6,3.9,4.5,0.053,-1.9,-0.1,-2,0
"37",0.0470435962987421,0.264563586748565,-0.484492847411722,0.44380299721338,0.419930130625739,0.44873245552948,0.419322059608473,-0.259046451133393,2.3,0.2,0.497,0.497,0.546,13.8,15.6,6.4,13.1,111,104,0.9,1,1.9,0.117,-2.5,0.7,-1.8,0
"39",-0.108562145304796,-1.16769611849097,0.545400519657767,-1.17573269275908,-1.12387407478919,-0.467374159913493,1.17256899697304,0.745975870557061,8.8,0.9,0.498,0.518,0.561,22,14.5,1.2,28.1,112,106,49.9,25.3,75.2,0.167,3.6,0.2,3.8,31.9
"42",0.513860821109355,0.264563586748565,0.423585175165676,0.0119268132207247,-0.351971972081726,1.67020794278678,-1.46379528380295,-0.594053891696877,5.9,0.5,0.456,0.504,0.528,16.1,15.6,1.2,22.8,106,110,4.8,6.1,10.8,0.081,0.2,-1.5,-1.3,1.1
"45",0.0470435962987421,0.264563586748565,-2.13453705916822,0.767710135207872,0.750745317500366,-0.238347506052748,0.607633793949615,0.745975870557061,3.6,0.5,0.607,0.607,0.626,20.3,12.6,4.9,16.6,125,106,18.4,7.8,26.2,0.181,1.7,0.6,2.3,7.5
"47",-1.50901381973664,-0.553870530531171,0.412511052939123,0.227864905217053,1.30210396229141,-0.772743031727814,0.984257262631899,-0.0915427308516505,4.5,0.4,0.499,0.5,0.558,15.3,12,2.2,18.4,111,106,23.9,18.9,42.8,0.125,-0.6,-0.2,-0.8,5.1
"51",1.9143124955412,2.3106488799479,1.51992327559449,1.95536964118768,0.640473588542157,1.21215463506529,-0.710548346438379,-1.59907621338733,6,0.4,0.528,0.528,0.555,14.6,15,4.6,14.2,112,106,24.7,19.1,43.8,0.113,-1.2,-0.2,-1.4,2.9
"52",0.513860821109355,0.469172116068499,-0.251936280654096,0.0119268132207247,-0.351971972081726,0.830443545297387,-1.46379528380295,-1.43157249310559,2.6,0.3,0.439,0.502,0.524,13.1,11.4,1.8,19.7,105,107,4.8,5.3,10.2,0.086,-1,-0.6,-1.6,0.5
"54",0.0470435962987421,-0.963087589171039,0.135657997275282,-1.82354696874806,-1.89577617749665,0.983127981204549,-0.710548346438379,-0.929061332260362,2,0.3,0.39,0.45,0.485,7.7,9.1,1.4,13.5,96,104,-0.9,8.5,7.6,0.054,-3.2,0.4,-2.7,-1.2
"55",1.60310101233412,2.10604035062797,1.07695838653234,1.52349345719502,0.419930130625739,1.74655016074036,-0.522236612097237,-0.929061332260362,6.4,0.6,0.494,0.52,0.567,19.6,11.7,4.7,24.4,111,107,39.4,26.1,65.6,0.131,1.5,0,1.4,20.7
"58",1.9143124955412,1.28760623334823,1.0880325087589,-0.204011278775603,-1.56496099062203,0.830443545297387,-0.145613143414953,-0.259046451133393,4.2,0.4,0.408,0.448,0.474,12.2,13.1,2.2,21.9,94,109,-1.4,1.9,0.6,0.008,-2.2,-1.9,-4,-1.8
"61",-1.04219659492602,-2.19073876509064,0.52325227520466,-1.28370173875724,-0.572515429998144,-0.39103194195991,0.984257262631899,1.08098331112055,4.9,0.4,0.535,0.536,0.595,17.5,12.5,1.3,20.5,116,108,25.7,10.2,35.9,0.149,0.5,-0.8,-0.3,5
"62",-0.575379370115409,0.264563586748565,1.07695838653234,0.119895859218889,0.530201859583948,-0.238347506052748,-0.898860080779521,-1.59907621338733,9.5,0.9,0.521,0.521,0.554,19.5,17.7,1,24.3,108,102,40.6,39.7,80.3,0.143,1.3,0.1,1.4,23.1
"67",0.513860821109355,1.0829977040283,0.279621586220479,0.227864905217053,-0.131428514165307,0.296048019622318,-0.522236612097237,-0.76155761197862,4.5,0.5,0.44,0.519,0.547,13.3,11.6,2.1,18,109,108,20.7,18.2,38.9,0.094,-0.4,0,-0.4,8
"70",0.20264933790228,0.469172116068499,-0.107972691708899,-0.743856508766423,-0.903330616872772,-0.314689724006331,-1.08717181512066,-0.76155761197862,4.6,0.5,0.435,0.494,0.52,16,13.2,2.1,24.1,105,109,12,10.6,22.6,0.08,0.6,-1.3,-0.6,4.7
"72",-0.730985111718947,-0.144653471891303,-1.10464369209873,1.09161727320236,1.63291914916604,-0.620058595820655,0.795945528290757,0.578472150275319,4.2,0.3,0.598,0.6,0.631,17.1,18.4,2.8,17,117,108,3.5,2.8,6.3,0.14,-1.2,-0.1,-1.3,0.4
"73",0.980678045919969,0.469172116068499,-0.750271780849011,0.659741089209708,-0.0211567852070982,-0.314689724006331,0.607633793949615,-0.0915427308516505,8.5,0.8,0.494,0.506,0.571,20.6,14.1,2.3,24.6,113,105,68.8,37.2,106,0.159,2.2,-0.3,1.9,31.1
"76",1.75870675393766,1.0829977040283,0.744734719735733,-0.95979460076275,-2.22659136437128,0.219705801668738,-2.02873048682637,-0.929061332260362,7.6,0.4,0.489,0.489,0.525,14.9,16.4,3.6,21.7,98,105,0.4,24.2,24.6,0.06,-1.9,-0.1,-1.9,0.4
"80",-0.264167886908333,-0.144653471891303,-1.13786605877839,-0.419949370771931,-0.241700243123517,-1.38348077535646,0.795945528290757,0.410968429993576,4.9,0.5,0.541,0.541,0.568,15.5,14.4,1.5,19,109,108,16,10.8,26.9,0.103,-1,-0.7,-1.6,1.2
