"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"4",-0.649399268544878,-0.286722285268265,-1.00481782221493,-0.863882843456216,-0.439725153603089,-0.470455902202013,1.24092445902716,1.79723868633687,3.6,0.4,0.447,0.478,0.517,11.4,12,2.2,15.5,101,107,0.3,0.7,1,0.06,-2.6,-0.1,-2.7,-0.2
"5",2.07694168394672,0.174272488634201,1.84162426068131,0.629247997085388,-0.90107613443256,2.67506072282215,-0.757270461272751,-0.325564532050802,2.8,0.3,0.505,0.505,0.529,13.9,15.5,2,22,100,105,0.1,0.8,0.8,0.066,-3.6,0,-3.5,-0.2
"9",-2.76988667603834,-0.61600426662717,0.141588124727562,-1.71710046662285,0.252301317641117,0.261059591989653,0.332654040709019,0.164313133730968,1.4,0.2,0.38,0.484,0.502,6.1,7,0.9,11.9,104,118,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3
"12",-0.346472496045811,-0.0232967001811419,0.44356822782461,-0.437274031872901,-0.209049663188354,0.261059591989653,0.695962208036275,0.654190799512738,9.7,0.7,0.499,0.499,0.539,14.7,18,2.2,16,108,106,2.4,3,5.5,0.103,-1.2,-0.3,-1.6,0.3
"13",-0.0435457235467443,0.371841677449543,1.39424633016717,0.309291388397901,0.367639062848484,-0.32415280336368,-0.212308210281866,-1.14202730835375,4.4,0.3,0.528,0.528,0.554,16.6,17.3,3.9,21.2,108,104,1.3,1.4,2.7,0.123,-1.7,-0.6,-2.3,-0.1
"20",-0.195009109796278,-0.61600426662717,1.84162426068131,-1.39714385793536,-1.36242711526203,-1.27512294581284,1.96754079368167,0.980775910033918,2,0.1,0.517,0.517,0.573,10,13.4,1.1,17.3,103,105,0.3,0.5,0.8,0.083,-5.6,-0.8,-6.4,-0.5
"21",-0.0435457235467443,0.174272488634201,-0.283420909260876,-0.0106652202895853,0.0216258272263814,-0.616759001040346,1.05927037536353,0.654190799512738,8.8,0.8,0.472,0.473,0.53,16.2,15.9,2.5,21.5,103,101,2.6,3.6,6.2,0.116,-0.9,-0.4,-1.3,0.4
"23",-0.346472496045811,-0.0232967001811419,-0.115654185318071,-1.1838394521437,-1.01641387963993,-0.836213649297844,1.05927037536353,0.654190799512738,1.9,0.2,0.568,0.568,0.577,11.1,16.4,1.1,18.4,92,109,-0.2,0.2,0,-0.002,-3.3,-1.9,-5.2,-0.2
"24",0.713771207700923,0.305985281177763,2.26663329466975,1.90907443183533,1.52101651492216,0.407362690827986,0.877616291699904,0.00102057847037776,7.6,1,0.608,0.61,0.578,21.6,21.2,6.1,17.2,114,99,2.2,2.3,4.5,0.172,1,1.5,2.5,1.4
"26",-1.40671619979254,-0.352578681540046,-1.80450587300897,-1.1838394521437,-0.209049663188354,0.0416049437321514,0.332654040709019,0.980775910033918,2.4,0.5,0.485,0.5,0.518,9,13.3,2,10.1,105,102,0.2,0.6,0.8,0.099,-3.8,1.4,-2.4,0
"27",1.47108813894859,0.437698073721324,0.700810537870243,0.522595794189559,-0.555062898810457,1.28518128385798,-0.575616377609123,0.00102057847037776,7,0.6,0.533,0.533,0.555,15.2,14.5,2.3,15.9,111,106,3.1,2.4,5.5,0.113,-0.3,0.7,0.4,1.4
"30",-0.0435457235467443,-0.0232967001811419,-0.227498667946607,0.949204605772875,1.05966553409269,2.45560607456465,-0.212308210281866,-0.978734753093162,3.4,0.3,0.527,0.527,0.557,15.1,11.7,2,22.1,103,109,0.9,0.8,1.7,0.065,-1.8,-0.9,-2.7,-0.2
"32",0.259381048952322,0.240128884905982,-2.29662159657453,0.522595794189559,0.367639062848484,-0.543607451621181,-0.0306541266182378,0.490898244252148,5.8,0.7,0.462,0.462,0.506,16.9,17.5,4.5,21.7,102,108,0.4,1.2,1.6,0.069,-1.5,-0.8,-2.3,-0.1
"36",0.562307821451389,-0.0891530964529228,-0.294605357523729,0.202639185502072,-0.209049663188354,-0.836213649297844,1.60423262635442,1.3073610205551,3.1,0.4,0.582,0.582,0.595,16.7,15.1,1.4,14.1,120,106,1.1,0.6,1.7,0.149,0,-1.2,-1.2,0.1
"37",0.713771207700923,0.371841677449543,-2.58741725140872,0.41594359129373,-0.0937119179809862,1.57778748153465,-1.48388679592726,-1.79519752939611,2.5,0.4,0.464,0.514,0.546,12.8,11.5,2.4,18.5,105,110,0.6,0.7,1.3,0.067,-1.7,-0.1,-1.8,0.1
"43",0.107917662702789,0.174272488634201,-0.462372081466533,0.522595794189559,0.482976808055852,0.480514240247151,0.332654040709019,-0.325564532050802,2.8,0.3,0.515,0.515,0.541,14.7,16,6.5,13.9,111,103,0.5,0.7,1.2,0.125,-2.4,0.7,-1.6,0
"45",-0.0435457235467443,-0.286722285268265,0.577781606978854,-1.07718724924787,-1.13175162484729,-0.397304352782848,1.05927037536353,0.654190799512738,12.1,0.8,0.506,0.508,0.549,21.9,18.6,1.1,27.3,111,107,6.5,3.4,9.8,0.152,3,-0.3,2.6,3.6
"48",0.562307821451389,0.174272488634201,0.454752676087463,0.0959869826062436,-0.324387408395721,1.65093903095382,-1.48388679592726,-0.652149642571982,5.4,0.4,0.427,0.445,0.469,13.8,16.1,1.5,20.7,100,106,0.3,1.3,1.5,0.066,-1.5,-1.8,-3.3,-0.4
"51",0.107917662702789,0.174272488634201,-2.12885487263172,0.842552402877046,0.828990043677955,-0.177849704525347,0.514308124372647,0.654190799512738,2.6,0.2,0.554,0.554,0.583,17.2,14.1,4.3,16,120,109,0.8,0.3,1.1,0.142,0.2,-0.6,-0.4,0.2
"53",-0.800862654794411,-0.681860662898951,-1.72621473516899,-2.35701368399782,-1.93911584129887,-1.34827449523201,1.78588671001804,2.28711635211864,5.9,0.6,0.618,0.642,0.663,20.9,14,3.2,18.7,127,109,3.4,1.6,5,0.183,2.4,0.7,3.1,1.7
"54",-0.0435457235467443,0.174272488634201,0.208694814304684,-0.117317423185414,-0.0937119179809862,1.21202973443882,-1.12057862860001,-0.652149642571982,2.1,0.5,0.422,0.43,0.476,7.5,10.2,1.1,13.7,93,110,-0.3,0.4,0.1,0.008,-5.7,-0.6,-6.3,-0.6
"55",-1.25525281354301,-0.220865888996485,1.56201305410997,0.41594359129373,1.40567876971479,-0.909365198717012,1.24092445902716,0.490898244252148,3.3,0.4,0.457,0.457,0.463,12.6,16.6,0.2,17.6,98,103,0.2,0.4,0.6,0.066,-1.1,-1.3,-2.4,0
"60",1.92547829769719,0.83283645135201,1.56201305410997,2.01572663473116,0.713652298470587,1.21202973443882,-0.757270461272751,-1.63190497413552,5.2,0.3,0.493,0.493,0.54,13.7,14.8,5.3,12.4,112,104,1.7,1.4,3.1,0.116,-1.7,0.5,-1.3,0.2
"61",0.562307821451389,0.240128884905982,-0.227498667946607,0.0959869826062436,-0.324387408395721,0.846271987342985,-1.48388679592726,-1.46861241887493,2.9,0.5,0.475,0.475,0.505,14,12.9,2.7,17.3,104,99,0.5,0.7,1.1,0.122,-2.1,0.9,-1.1,0.1
"63",1.62255152519812,0.766980055080229,1.11463512359583,1.58911782314785,0.482976808055852,1.72409058037298,-0.575616377609123,-0.978734753093162,8.1,0.5,0.531,0.531,0.568,17.9,15.8,4.9,20.3,110,108,3.2,2.7,5.8,0.112,-0.3,-0.3,-0.6,0.9
"65",0.107917662702789,0.371841677449543,-0.0597319440038031,0.629247997085388,0.59831455326322,-0.909365198717012,0.15099995704539,0.00102057847037776,3.5,0.3,0.518,0.53,0.542,11.9,15,2,15.3,107,114,0.4,0.4,0.8,0.055,-3.2,-0.9,-4.1,-0.4
"70",-0.952326041043944,-0.61600426662717,0.555412710453146,-1.1838394521437,-0.555062898810457,-0.32415280336368,0.877616291699904,0.980775910033918,4.9,0.4,0.616,0.616,0.641,21.4,16.4,0.7,18.8,130,102,2.5,1.2,3.7,0.251,1.6,-0.1,1.5,0.6
"71",-0.497935882295344,0.174272488634201,1.11463512359583,0.202639185502072,0.59831455326322,-0.177849704525347,-0.938924544936379,-1.63190497413552,7.5,0.7,0.536,0.536,0.577,17.9,16.6,1.7,17.1,114,105,4.2,1.8,5.9,0.139,0.6,-0.6,0,1
"76",-0.195009109796278,0.174272488634201,-0.842643322403557,1.0558568086687,1.29034102450743,-0.177849704525347,0.514308124372647,0.490898244252148,2.5,0.2,0.417,0.417,0.43,8,11.6,3.4,14.4,92,107,-0.3,0.5,0.3,0.025,-4.6,0.2,-4.4,-0.3
"78",0.562307821451389,0.437698073721324,0.309354848670366,0.309291388397901,-0.0937119179809862,0.334211141408818,-0.575616377609123,-0.815442197832572,5.8,0.5,0.477,0.479,0.541,18.1,14.5,2.5,24.2,110,110,2.6,0.9,3.5,0.108,0.7,-1.4,-0.7,0.5
"80",0.259381048952322,0.240128884905982,-0.0821008405295107,-0.650578437664559,-0.90107613443256,-0.251001253944515,-1.12057862860001,-0.815442197832572,6.4,0.7,0.463,0.5,0.521,16.4,13.5,2.1,21.7,107,111,2.9,1,3.9,0.079,0.7,-1.6,-0.9,0.6
"82",1.01669798019999,0.240128884905982,-0.73079883977502,0.735900199981217,0.0216258272263814,-0.251001253944515,0.514308124372647,-0.162271976790212,7.4,0.8,0.459,0.463,0.513,15.1,12.8,3.1,18.3,103,99,2.5,3.8,6.2,0.119,-1.2,0.5,-0.8,0.8
"84",1.77401491144766,0.437698073721324,0.779101675710218,-0.863882843456216,-2.28512907692097,0.261059591989653,-2.02884904691815,-0.978734753093162,5.6,0.3,0.46,0.46,0.502,9.6,14.2,2.9,15.7,90,107,-0.9,0.9,0,0.001,-3.4,-0.8,-4.2,-1
"86",-1.86110635854114,-0.484291474083608,-1.34594349423197,-1.82375266951868,-0.555062898810457,-0.982516748136177,-0.212308210281866,0.490898244252148,3.7,0.9,0.389,0.389,0.434,11.1,8.7,0.4,20.8,94,109,-0.1,0.3,0.2,0.008,-2.7,-1.8,-4.5,-0.7
"88",-0.952326041043944,0.437698073721324,0.779101675710218,1.16250901156453,1.98236749575163,-0.32415280336368,-0.938924544936379,-0.978734753093162,2.6,0.2,0.471,0.471,0.496,7.9,14.1,1.7,10,102,111,0.1,0.3,0.4,0.037,-4.6,-1.1,-5.7,-0.5
