"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",-1.20499706751877,-0.937270685323422,-0.479300082202875,-1.42111011832801,-0.614721137871605,-0.0452242352468709,-1.47787275166043,-1.51291020890153,1.5,0.5,0.381,0.459,0.49,12.2,5.3,0.2,20.3,101,108,1.2,3.2,4.4,0.059,-0.7,-0.6,-1.3,0.7
"2",-2.16359232899489,-1.74143511607266,-2.2363602971888,-1.34062295514517,0.714820998835832,-0.238757359612165,0.753446141830715,1.01388479563455,1.8,0.6,0.415,0.489,0.531,14,4.3,0.4,23.7,106,111,7.5,4.9,12.5,0.077,0.6,-1.4,-0.8,2.4
"5",-1.49257564596161,-0.937270685323422,-0.799770184307227,-0.213802670585356,1.56089326764966,0.438608575666362,-1.64951266654437,-0.918370207834219,1.9,0.7,0.41,0.488,0.52,11.7,5.4,1.1,19.6,104,110,0.5,2.5,3,0.064,-1.6,0,-1.6,0.2
"6",-0.629839910633103,-0.669215875073677,-0.855023650187288,-0.535751323316731,-0.0103838030045879,-0.0452242352468709,-0.448033262356827,-0.621100207300562,1,0.4,0.413,0.434,0.494,9.9,4.7,0.1,16.7,100,112,0.2,1.3,1.6,0.032,-3.2,-0.7,-3.9,-1.1
"7",1.0956315600239,1.20716779667454,-0.191982059626561,0.591068961243082,-0.493853670898201,1.40627419749283,-1.64951266654437,-1.66154520916836,2.1,0.2,0.373,0.423,0.448,7.4,6.2,0.3,21.1,91,111,-3,1.6,-1.4,-0.021,-3,-2,-5,-2.4
"9",1.38321013846674,2.14535963254865,0.80258032621453,2.2812993880828,1.68176073462306,0.728908262214301,-1.13459292189256,-0.769735207567391,5.3,1,0.437,0.463,0.505,12.4,13.8,2.1,15.4,100,105,2.1,9.4,11.5,0.066,-1.6,0.7,-0.9,2.3
"12",0.808052981581067,0.939112986424793,1.07884765561483,1.55691491943721,1.31915833370285,-0.625823608342753,1.61164571625039,1.45978979643504,4.2,0.6,0.452,0.465,0.511,12.3,8.6,1.4,21.3,101,112,1.9,4.2,6.1,0.035,-2.2,-1.4,-3.5,-3.2
"13",0.32875535084301,0.939112986424793,1.20040528055097,0.430094634877394,0.231351130942219,0.438608575666362,-1.3062328367765,-1.66154520916836,2.2,0.6,0.397,0.474,0.518,10.6,6,0.4,19.2,101,110,1.9,2.3,4.2,0.045,-1.4,-1.2,-2.7,-0.7
"14",0.520474403138233,0.80508558129992,-0.490350775378888,0.591068961243082,0.231351130942219,-0.529057046160108,-0.448033262356827,-0.0265602062332476,2.9,0.6,0.432,0.467,0.526,14.1,7.3,0.5,22.9,105,110,5.8,3.1,8.9,0.071,-0.4,-1,-1.4,0.9
"16",0.616333929285844,0.80508558129992,-0.225134139154597,0.993504777157301,0.714820998835832,0.922441386579595,0.0668864822949769,-0.0265602062332476,2.8,0.6,0.439,0.542,0.571,11.7,6.2,0.9,16.3,112,111,8.5,4.5,13,0.085,-0.7,-0.3,-1.1,1.6
"17",0.0411767724001762,-0.669215875073677,-0.191982059626561,-0.455264160133887,-0.735588604845008,-0.819356732708047,0.58180622694678,1.16251979590138,2.6,0.4,0.454,0.51,0.574,12.5,6.8,0.9,21.4,106,116,0.9,0.6,1.4,0.039,-1.2,-1.5,-2.7,-0.3
"20",0.808052981581067,1.34119520179941,0.857833792094591,0.913017613974457,0.352218597915622,-0.432290483977459,0.0668864822949769,-0.472465207033734,5.7,1.8,0.469,0.505,0.564,16.9,8.8,1,19.5,111,106,22.5,18,40.5,0.127,1.3,1.1,2.4,16.9
"23",0.32875535084301,-0.133106254574187,0.64787062175036,0.269120308511707,-0.0103838030045879,1.11597451094489,-1.3062328367765,-0.918370207834219,2,0.7,0.373,0.429,0.503,10.3,5.5,1.5,17.8,103,111,0.9,2.2,3.2,0.051,-2.8,0,-2.8,-0.6
"25",-0.533980384485492,-0.26713365969906,-1.00973335465146,0.349607471694551,1.19829086672945,-1.20642298143863,0.58180622694678,1.60842479670187,1.8,0.3,0.404,0.475,0.506,9.2,5.4,0.5,19.2,102,118,0,0.2,0.2,0.007,-2.5,-2,-4.6,-1
"29",0.616333929285844,1.07314039154967,0.062183883421718,0.188633145328863,-0.493853670898201,1.79334044622342,-1.3062328367765,-1.95881520970202,2.3,0.5,0.413,0.465,0.492,7.9,7,1,15.1,98,111,-0.4,3.6,3.2,0.027,-3.2,-0.4,-3.6,-2.3
"30",0.0411767724001762,0.403003365925303,-0.689263252547106,0.430094634877394,0.593953531862429,0.438608575666362,-0.104753432588958,-0.0265602062332476,2,0.4,0.429,0.455,0.51,11.6,7.6,1.2,22.1,97,110,-0.4,1.5,1.1,0.022,-2.1,-0.9,-3,-0.6
"32",-0.0546827537474351,-1.07129809044829,0.073234576597731,-0.2942898337682,-0.372986203924798,0.922441386579595,0.753446141830715,0.419344794567238,2,0.6,0.418,0.471,0.5,10.2,4.9,0.5,19.2,100,111,1.4,4.1,5.5,0.033,-2.4,-0.9,-3.3,-2.6
"33",-0.629839910633103,-0.535188469948805,-1.16444305911563,-0.2942898337682,0.352218597915622,-0.819356732708047,0.410166312062846,0.419344794567238,2.5,0.9,0.435,0.482,0.503,11,5.6,0.6,20.7,97,106,-0.7,7.3,6.6,0.043,-2.2,-0.2,-2.5,-0.9
"34",-1.01327801522355,-0.401161064823932,-0.523502854906924,0.108145982146019,1.44002580067625,-0.335523921794814,0.410166312062846,0.419344794567238,3,0.8,0.437,0.502,0.554,16.3,5.4,0.4,27.3,107,107,16.1,12.4,28.5,0.11,1.8,-0.6,1.2,9.9
"35",-0.0546827537474351,0.000921150550685453,-0.678212559371094,-0.133315507402512,-0.131251269977991,0.438608575666362,0.753446141830715,1.7570597969687,2.6,0.7,0.417,0.494,0.527,9.2,5.9,0.7,17.8,99,112,0.9,3.5,4.5,0.025,-2.4,-1,-3.4,-3.1
"38",0.616333929285844,0.403003365925303,0.360552599174046,0.591068961243082,0.110483663968816,-0.529057046160108,-0.619673177240761,-0.472465207033734,2.5,0.9,0.417,0.422,0.488,11,9.6,0.6,16.3,97,105,-0.2,2.2,2,0.049,-3.2,1.1,-2.1,0
"40",-1.78015422440444,-1.33935290069804,-1.73907910426826,-1.34062295514517,0.231351130942219,0.245075451301068,0.753446141830715,1.45978979643504,0.7,0.3,0.379,0.446,0.463,8.9,3.5,0.2,23,93,116,-1.4,0.2,-1.2,-0.034,-2.4,-2.7,-5.2,-1.3
"41",0.808052981581067,0.26897596080043,0.526312996814227,0.430094634877394,-0.372986203924798,0.535375137849007,-0.619673177240761,-0.472465207033734,1.6,0.3,0.442,0.483,0.527,9.7,9.9,0.3,16.6,103,109,0.4,0.7,1.1,0.06,-3.7,-0.5,-4.1,-0.5
"43",0.99977203387629,1.20716779667454,1.85239617793568,1.31545342988868,0.714820998835832,1.79334044622342,-0.96295300700863,-0.621100207300562,4.3,1,0.447,0.48,0.534,14.4,9.3,0.6,18.9,109,108,10.1,5.6,15.7,0.101,0.1,-0.2,-0.1,3.5
"44",-0.150542279895047,-0.133106254574187,0.0179811107176704,-0.0528283442196685,0.110483663968816,0.535375137849007,0.925086056714649,0.865249795367724,3.6,1,0.441,0.51,0.544,15.8,6,0.7,24.3,107,108,12.2,9.8,21.9,0.098,1.3,-0.5,0.8,7.6
"46",-0.0546827537474351,-0.26713365969906,-0.744516718427166,0.430094634877394,0.714820998835832,-0.238757359612165,-0.104753432588958,0.27070979430041,0.6,0.2,0.352,0.395,0.404,4.9,5.2,0.4,22,80,102,-1.4,0.8,-0.6,-0.039,-6.2,-1.7,-7.9,-1
"48",-0.821558962928326,-0.535188469948805,-1.36335553628384,-0.455264160133887,0.352218597915622,-1.49672266798658,-0.448033262356827,0.419344794567238,3.5,1,0.416,0.481,0.522,14.4,6.1,0.5,24.6,101,110,5.7,5.6,11.3,0.05,0.5,-1.6,-1,2.6
"49",0.616333929285844,0.134948555675558,0.305299133293985,-0.0528283442196685,-0.856456071818412,0.438608575666362,1.26836588648252,1.31115479616821,4.3,1,0.46,0.493,0.549,20.1,7.3,0.5,25.4,116,110,28.8,8.7,37.5,0.157,3.7,-0.1,3.7,16.3
"50",0.520474403138233,1.07314039154967,0.548414383166252,0.993504777157301,0.835688465809236,0.82567482439695,0.753446141830715,-0.323830206766905,3.6,0.6,0.44,0.526,0.545,10.9,7.5,1.9,15.6,103,109,3.5,6,9.5,0.059,-0.7,-0.2,-0.9,2.2
