"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",-1.05193515118325,-0.756830102853123,-1.48030567305852,-1.41311397439617,-0.741610114248706,-0.0581039277258168,0.89066544131848,0.375053533627003,1.1,0.3,0.406,0.477,0.495,10.3,3.4,0.6,16.5,101,113,0.4,-0.1,0.3,0.02,-0.8,-3.2,-4,-0.3
"2",-1.14617710170631,-0.892228455615248,-0.47786062283641,-1.41311397439617,-0.621528074532277,-0.0581039277258168,-1.54704636382715,-1.60527114672846,1.6,0.6,0.41,0.494,0.53,14,5.6,0.2,22.7,102,108,0.4,0.8,1.2,0.065,-0.1,-0.4,-0.5,0.3
"3",-2.08859660693689,-1.704618572188,-2.26874560019951,-1.33160978732877,0.699374362348445,-0.25634085761391,0.716543169522363,0.984384204505606,1.1,0.3,0.413,0.493,0.535,13.1,5.2,0.6,21.8,107,106,0.6,0.8,1.4,0.112,-0.5,0.2,-0.2,0.3
"6",-1.42890295327548,-0.892228455615248,-0.80450002122339,-0.190551168385165,1.53994864036345,0.437488396994414,-1.72116863562327,-0.995940475849853,1.3,0.4,0.401,0.483,0.518,11.9,5.8,1.8,21.9,102,108,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1
"7",-0.580725398567951,-0.621431750090997,-0.860817158876318,-0.516567916654765,-0.0211178759501308,-0.0581039277258168,-0.502312733050452,-0.691275140410552,1,0.5,0.401,0.416,0.455,7.7,3.8,0,16.5,93,112,-0.5,0.4,-0.1,-0.007,-4.2,-1,-5.2,-0.7
"8",1.11562971084711,1.27414518857876,-0.185011507041187,0.624490702288837,-0.501446034815848,1.42867304643488,-1.72116863562327,-1.75760381444811,2.9,0.4,0.376,0.422,0.45,7.9,5.9,0.2,22.4,91,112,-2.2,0.8,-1.5,-0.03,-2.7,-2.4,-5.1,-1.8
"11",1.39835556241629,2.22193365791364,0.82869697071151,2.33607863070424,1.66003068007988,0.734843791826551,-1.19880182023492,-0.843607808130203,3.3,0.7,0.394,0.45,0.499,9.6,10.8,1.3,17.3,94,108,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3
"14",0.832903859277934,1.00334848305451,1.11028265897615,1.60254094709764,1.29978456093059,-0.652814717390096,1.58715452850295,1.44138220766456,4.5,0.6,0.429,0.454,0.504,12.7,9.6,1.5,24.1,97,110,-0.5,1.6,1.1,0.025,-1.9,-1.5,-3.4,-0.8
"15",0.361694106662639,1.00334848305451,1.23418036181259,0.461482328154036,0.219046203482728,0.437488396994414,-1.37292409203103,-1.75760381444811,1.9,0.3,0.414,0.481,0.52,10.4,7.2,0.6,18.2,101,111,0.2,0.3,0.4,0.037,-1.7,-1.7,-3.3,-0.2
"16",0.550178007708757,0.867950130292387,-0.489124050366996,0.624490702288837,0.219046203482728,-0.553696252446052,-0.502312733050452,-0.0819444695319492,2.2,0.5,0.429,0.45,0.506,14,8.1,0.4,22.5,105,109,1.1,0.4,1.5,0.076,-0.6,-1.4,-2,0
"18",-0.957693200660187,-0.21523669180462,0.152891318876379,0.135465579884436,1.41986660064702,-0.25634085761391,-0.676435004846568,-0.2342771372516,1.5,0.4,0.386,0.479,0.512,10,5.8,0.3,20.8,99,109,0.1,0.5,0.6,0.039,-1.5,-1.2,-2.7,-0.1
"19",0.0789682550934617,-0.621431750090997,-0.185011507041187,-0.435063729587365,-0.741610114248706,-0.851051647278189,0.542420897726247,1.13671687222526,3.1,0.4,0.448,0.498,0.564,12.2,7.1,0.8,21.5,104,116,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4
"22",-2.55980635955219,-2.24621198323651,-1.70557422367023,-2.30966003213757,-0.14119991566656,-1.44576243694247,-0.502312733050452,-0.538942472690901,1.1,0.5,0.363,0.419,0.446,8.6,4.7,0.1,15,96,106,-0.1,0.5,0.4,0.041,-3.2,0.4,-2.8,-0.1
"25",0.832903859277934,1.40954354134089,0.885014108364438,0.950507450558437,0.339128243199157,-0.454577787502003,0.0200540823378976,-0.538942472690901,5.7,1.7,0.493,0.536,0.58,13.5,9.7,1.4,12.8,110,102,2.7,4,6.6,0.118,-0.7,2.1,1.4,2.3
"28",-0.863451250137128,-1.02762680837737,-0.207538362102358,-1.25010560026137,-0.741610114248706,-1.24752550705437,0.716543169522363,0.222720865907352,0.8,0.1,0.391,0.471,0.488,8.4,4.1,0,21.9,95,110,0,0.1,0.1,0.011,-2.6,-2.4,-5,-0.3
"29",0.361694106662639,-0.0798383390424938,0.671008985283312,0.298473954019236,-0.0211178759501308,1.13131765160274,-1.37292409203103,-0.995940475849853,1.9,0.7,0.325,0.385,0.477,8.7,5.3,1.4,16.4,100,109,0,1.5,1.6,0.051,-4,0.6,-3.4,-0.5
"33",0.644419958231816,1.13874683581664,0.0740473261622799,0.216969766951836,-0.501446034815848,1.82514690621106,-1.37292409203103,-2.06226914988741,0.8,0.1,0.358,0.364,0.386,0.7,4.8,0.7,14.2,71,107,-0.8,0.3,-0.5,-0.062,-7.9,-0.9,-8.8,-0.6
"34",0.0789682550934617,0.461755072006009,-0.691865745917535,0.461482328154036,0.579292322632015,0.437488396994414,-0.154068189458219,-0.0819444695319492,1.7,0.4,0.455,0.47,0.507,10.3,9.2,1.6,19.4,93,107,-0.3,0.5,0.2,0.018,-3.1,-0.1,-3.2,-0.2
"35",-0.580725398567951,-0.21523669180462,-0.342699492469385,-0.0275427942503644,0.699374362348445,-0.355459322557959,0.36829862593013,0.679718869066304,0.9,0.1,0.455,0.48,0.497,9.3,7.9,0.3,25.1,89,111,-0.4,0.2,-0.3,-0.044,-3.3,-1.9,-5.1,-0.2
